Kanji	Furigana	Romaji	Meaning
明かり	あかり	akari	light
明らか	あきらか	akiraka	clear
悪魔	あくま	akuma	devil
暗記	あんき	anki	memorization
新た	あらた	arata	new
有らゆる	あらゆる	arayuru	all
集まり	あつまり	atsumari	gathering
部分	ぶぶん	bubun	portion
分	ぶん	bun	part
文明	ぶんめい	bunmei	civilization
分析	ぶんせき	bunseki	analysis
分野	ぶんや	bunya	field
父親	ちちおや	chichioya	father
地位	ちい	chii	(social) position
長期	ちょうき	chouki	long-term
中	ちゅう	chuu	during
中学	ちゅうがく	chuugaku	junior high school
昼食	ちゅうしょく	chuushoku	lunch
大部分	だいぶぶん	daibubun	most part
駄目	だめ	dame	no good
男子	だんし	danshi	youth
出会い	であい	deai	meeting
出会う	であう	deau	to meet (by chance)
読書	どくしょ	dokusho	reading
努力	どりょく	doryoku	effort
同一	どういつ	douitsu	identical
円	えん	en	yen
不利	ふり	furi	disadvantage
不足	ふそく	fusoku	insufficiency
再び	ふたたび	futatabi	again
外交	がいこう	gaikou	diplomacy
外出	がいしゅつ	gaishutsu	going out
学期	がっき	gakki	school term
学	がく	gaku	learning
学問	がくもん	gakumon	scholarship
学者	がくしゃ	gakusha	scholar
学習	がくしゅう	gakushuu	study
議長	ぎちょう	gichou	chairman
議会	ぎかい	gikai	congress
激しい	はげしい	hageshii	violent
母親	ははおや	hahaoya	mother
博物館	はくぶつかん	hakubutsukan	museum
販売	はんばい	hanbai	sales
発明	はつめい	hatsumei	invention
外す	はずす	hazusu	to remove
品	ひん	hin	elegance, article
一言	ひとこと	hitokoto	single word
一人一人	ひとりひとり	hitorihitori	one by one
本物	ほんもの	honmono	genuine article
一致	いっち	icchi	agreement
一時	いちじ	ichiji	one o'clock
意外	いがい	igai	unexpected
一家	いっか	ikka	a family
今に	いまに	imani	before long
今にも	いまにも	imanimo	at any moment
一般	いっぱん	ippan	general
一方	いっぽう	ippou	one (esp. of two)
一生	いっしょう	isshou	whole life
一種	いっしゅ	isshu	species
一瞬	いっしゅん	isshun	instant
一層	いっそう	issou	much more
一体	いったい	ittai	(what) the heck
