Kanji	Furigana	Romaji	Meaning
明 か り	あ か り	akari	light
明 ら か	あき ら か	akiraka	clear
悪魔	あくま	akuma	devil
暗記	あんき	anki	memorization
新 た	あら た	arata	new
有 ら ゆ る	あ ら ゆ る	arayuru	all
集 ま り	あつ ま り	atsumari	gathering
部分	ぶぶん	bubun	portion
分	ぶん	bun	part
文明	ぶんめい	bunmei	civilization
分析	ぶんせき	bunseki	analysis
分野	ぶんや	bunya	field
父親	ちちおや	chichioya	father
地位	ちい	chii	(social) position
長期	ちょうき	chouki	long-term
中	ちゅう	chuu	during
中学	ちゅうがく	chuugaku	junior high school
昼食	ちゅうしょく	chuushoku	lunch
大部分	だいぶぶん	daibubun	most part
駄目	だめ	dame	no good
男子	だんし	danshi	youth
出会 い	であ い	deai	meeting
出会 う	であ う	deau	to meet (by chance)
読書	どくしょ	dokusho	reading
努力	どりょく	doryoku	effort
同一	どういつ	douitsu	identical
円	えん	en	yen
不利	ふり	furi	disadvantage
不足	ふそく	fusoku	insufficiency
再 び	ふたた び	futatabi	again
外交	がいこう	gaikou	diplomacy
外出	がいしゅつ	gaishutsu	going out
学期	がっき	gakki	school term
学	がく	gaku	learning
学問	がくもん	gakumon	scholarship
学者	がくしゃ	gakusha	scholar
学習	がくしゅう	gakushuu	study
議長	ぎちょう	gichou	chairman
議会	ぎかい	gikai	congress
激 し い	はげ し い	hageshii	violent
母親	ははおや	hahaoya	mother
博物館	はくぶつかん	hakubutsukan	museum
販売	はんばい	hanbai	sales
発明	はつめい	hatsumei	invention
外 す	はず す	hazusu	to remove
品	ひん	hin	elegance, article
一言	ひとこと	hitokoto	single word
一人一人	ひとりひとり	hitorihitori	one by one
本物	ほんもの	honmono	genuine article
一致	いっち	icchi	agreement
一時	いちじ	ichiji	one o'clock
意外	いがい	igai	unexpected
一家	いっか	ikka	a family
今 に	いま に	imani	before long
今 に も	いま に も	imanimo	at any moment
一般	いっぱん	ippan	general
一方	いっぽう	ippou	one (esp. of two)
一生	いっしょう	isshou	whole life
一種	いっしゅ	isshu	species
一瞬	いっしゅん	isshun	instant
